,fsq_id,station_num,distance,name,location_address,categorized,closed_bucket
198,4b7064c9f964a52094172de3,20,976,Little Italy,13 Amelia St,Restaurant,LikelyOpen
199,4e3526a1b3adaade053037fa,20,765,Shankill/Falls Peace Line,Canmore St,Monument,VeryLikelyOpen
200,5a37b9bd16fa04126cd4ccd7,21,299,Oh Donuts & Coffee,55 Upper Arthur St,Restaurant,VeryLikelyOpen
201,4b459b93f964a5207d0e26e3,21,698,Ginger Bistro,7-8 Hope St,Restaurant,Unsure
202,4b64a08bf964a52082c32ae3,21,730,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
203,514a517de4b0e876ff898ce4,21,461,Ox,1 Oxford St,Restaurant,VeryLikelyOpen
204,4b03d73ff964a520535022e3,21,356,Victoria Square Shopping Centre,1 Victoria Sq,Mall,VeryLikelyOpen
205,4bb3c394715eef3b6bce86bb,21,299,The Garrick Bar,29 Chichester St,Bar,LikelyOpen
206,4b071106f964a52093f622e3,21,555,Muriel's Cafe Bar,12-14 Church Lane,Bar,LikelyOpen
207,5a1fedbcbcbf7a12b589f1f9,21,703,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
208,54917d6b498e225b49364d84,21,438,YO! Belfast,1 Victoria Square,Restaurant,VeryLikelyOpen
209,4c489364c047be9aef423479,21,339,Zen,55-59 Adelaide St,Restaurant,LikelyOpen
210,5225aec711d2545620900017,22,130,26 West Bar & Grill,"Kennedy Centre, Falls Rd",Bar,LikelyOpen
211,56b604ba498e05a41db12725,22,856,Nando's,"Boucher Retail Park, Boucher Cres",Restaurant,VeryLikelyOpen
212,5c1509f325ecca002cf179ef,22,846,Five Guys,"32a, Boucher Crescent",Restaurant,LikelyOpen
213,51bc3b315019cde2256bac34,22,89,Herrons Country Fried Chicken Kennedy Centre,58a Kennedy Centre,Restaurant,VeryLikelyOpen
214,589ef43203e29a66d92c10f1,22,865,Eddie Rocket's,Boucher Crescent,Restaurant,VeryLikelyOpen
215,36fb9e8a3aeb45d3165f8727,22,179,China Town,533 Falls Rd,Restaurant,LikelyOpen
216,4298c66bd8ca4e7de569a6e4,22,234,Funky Monkeys Kennedy Centre,564-568 Falls Rd,Park,LikelyOpen
217,4cdd694b14119eb0c525ed33,22,157,Burger King,Kennedy Centre,Restaurant,VeryLikelyOpen
218,4db30bf7a86e8d27076738b6,22,122,Felons Club,537 Falls Road,Bar,VeryLikelyOpen
219,4c53fab772cf0f479f90c2d3,22,113,Subway,Kennedy Centre,Restaurant,VeryLikelyOpen
220,520080a3498eb97026f147b8,23,178,Established Coffee,54 Hill St,Coffee Shop,Unsure
221,5a1fedbcbcbf7a12b589f1f9,23,47,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
222,4bb897143db7b7135e65219a,23,43,The Spaniard,3 Skipper St,Bar,LikelyOpen
223,54917d6b498e225b49364d84,23,264,YO! Belfast,1 Victoria Square,Restaurant,VeryLikelyOpen
224,4b06f46df964a5201af422e3,23,78,Black Box,18-22 Hill St,Concert Hall,Unsure
225,52988e8511d22448bd236206,23,31,The Dirty Onion,3 Hill St,Bar,Unsure
226,514a517de4b0e876ff898ce4,23,360,Ox,1 Oxford St,Restaurant,VeryLikelyOpen
227,4b071106f964a52093f622e3,23,144,Muriel's Cafe Bar,12-14 Church Lane,Bar,LikelyOpen
228,4c6fcdd4d274b60cca8cd70d,23,98,Bert's Jazz Bar,16 Skipper St,Bar,Unsure
229,4bd352d741b9ef3b0fe3ffe5,23,230,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
230,4d7f4904e7e1721e4ceaee0b,24,251,Tropical Ravine,Botanic Gardens,Botanical Garden,VeryLikelyOpen
231,4b7554a1f964a520ac062ee3,24,464,Boojum,73 Botanic Ave,Restaurant,VeryLikelyOpen
232,51fc0981498e14d7ea479549,24,122,Maggie Mays,2 Malone Rd,Coffee Shop,VeryLikelyOpen
233,4c39a7270a71c9b6e7d642c9,24,618,Lee Garden,14-18 Botanic Ave,Restaurant,VeryLikelyOpen
234,545b434b498e9a85bdb35967,24,574,The Woodworkers,20-22 Bradbury Pl,Bar,VeryLikelyOpen
235,4bf0422df831c92849cd01f2,24,191,Ulster Museum,Botanic Gardens,Museum,VeryLikelyOpen
236,4c191a0c4ff90f475e6b0f49,24,314,Villa Italia,39-41 University St,Restaurant,VeryLikelyOpen
237,59cf9dc2aa6c9536b0f78460,24,446,Tribal Burger,86 Botanic Ave,Restaurant,VeryLikelyOpen
238,56f3e2b5498e6346b7f91b31,24,233,Holohans Pantry,43 University Rd,Restaurant,VeryLikelyOpen
239,4b7d734ff964a52022bf2fe3,24,428,Botanic Gardens,College Park,Park,VeryLikelyOpen
240,4b03d73ff964a520535022e3,25,287,Victoria Square Shopping Centre,1 Victoria Sq,Mall,VeryLikelyOpen
241,4bd352d741b9ef3b0fe3ffe5,25,568,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
242,52988e8511d22448bd236206,25,582,The Dirty Onion,3 Hill St,Bar,Unsure
243,4bb3c394715eef3b6bce86bb,25,352,The Garrick Bar,29 Chichester St,Bar,LikelyOpen
244,4b071106f964a52093f622e3,25,428,Muriel's Cafe Bar,12-14 Church Lane,Bar,LikelyOpen
245,54917d6b498e225b49364d84,25,346,YO! Belfast,1 Victoria Square,Restaurant,VeryLikelyOpen
246,520080a3498eb97026f147b8,25,731,Established Coffee,54 Hill St,Coffee Shop,Unsure
247,4b64a08bf964a52082c32ae3,25,757,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
248,514a517de4b0e876ff898ce4,25,223,Ox,1 Oxford St,Restaurant,VeryLikelyOpen
249,5a1fedbcbcbf7a12b589f1f9,25,574,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
250,4e3526a1b3adaade053037fa,26,549,Shankill/Falls Peace Line,Canmore St,Monument,VeryLikelyOpen
251,4c50130638b0be9a515ee3fc,26,742,Long's,39 Athol St,Restaurant,LikelyOpen
252,527aaa5111d295217f40d588,26,950,Howard Street,56 Howard St,Restaurant,VeryLikelyOpen
253,57dd894e498e23543490088a,26,960,La Taqueria,53 Castle St,Bar,VeryLikelyOpen
254,4b50a337f964a5209a2a27e3,26,978,Robinson's Saloon,38-40 Great Victoria St,Restaurant,VeryLikelyOpen
255,57ac99ec498e2258ef0521d3,26,945,Boojum,14-16 Great Victoria St,Restaurant,Unsure
256,4c7594d3604a3704191e8349,26,861,Maddens Bar,74 Berry St,Bar,Unsure
257,4fc21ef5e4b099ce175faf24,26,986,Home Restaurant,22 Wellington Pl,Restaurant,Unsure
258,4b64a08bf964a52082c32ae3,26,993,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
259,53751430498e924d1abd978c,26,982,Stix and Stones,44-46 Upper Queen St,Restaurant,VeryLikelyOpen
260,4d7f4904e7e1721e4ceaee0b,27,153,Tropical Ravine,Botanic Gardens,Botanical Garden,VeryLikelyOpen
261,4b7d734ff964a52022bf2fe3,27,264,Botanic Gardens,College Park,Park,VeryLikelyOpen
262,4c45f53af5aee21ee0f31658,27,214,Molly's Yard,1 College Green Mews,Restaurant,VeryLikelyOpen
263,4c191a0c4ff90f475e6b0f49,27,249,Villa Italia,39-41 University St,Restaurant,VeryLikelyOpen
264,4bf0422df831c92849cd01f2,27,229,Ulster Museum,Botanic Gardens,Museum,VeryLikelyOpen
265,59cf9dc2aa6c9536b0f78460,27,341,Tribal Burger,86 Botanic Ave,Restaurant,VeryLikelyOpen
266,4b7554a1f964a520ac062ee3,27,378,Boojum,73 Botanic Ave,Restaurant,VeryLikelyOpen
267,545b434b498e9a85bdb35967,27,571,The Woodworkers,20-22 Bradbury Pl,Bar,VeryLikelyOpen
268,56f3e2b5498e6346b7f91b31,27,298,Holohans Pantry,43 University Rd,Restaurant,VeryLikelyOpen
269,51fc0981498e14d7ea479549,27,283,Maggie Mays,2 Malone Rd,Coffee Shop,VeryLikelyOpen
270,4c4647bd342c1b8d3040b689,28,310,The Crown Liquor Saloon,46 Great Victoria St,Restaurant,Unsure
271,4bb3c394715eef3b6bce86bb,28,270,The Garrick Bar,29 Chichester St,Bar,LikelyOpen
272,4c489364c047be9aef423479,28,250,Zen,55-59 Adelaide St,Restaurant,LikelyOpen
273,4bacb913f964a520e8063be3,28,321,Nando's,24 Ormeau Ave,Restaurant,VeryLikelyOpen
274,4bdabe62c79cc928a48b7fe9,28,266,PizzaExpress,25-27 Bedford St,Restaurant,VeryLikelyOpen
275,5a37b9bd16fa04126cd4ccd7,28,171,Oh Donuts & Coffee,55 Upper Arthur St,Restaurant,VeryLikelyOpen
276,4b64a08bf964a52082c32ae3,28,444,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
277,4b459b93f964a5207d0e26e3,28,381,Ginger Bistro,7-8 Hope St,Restaurant,Unsure
278,5ae825e4ad910e002c72a002,28,208,Tim Hortons,65 Fountain St,Coffee Shop,VeryLikelyOpen
279,4fc21ef5e4b099ce175faf24,28,235,Home Restaurant,22 Wellington Pl,Restaurant,Unsure
280,56ad23e0498e9f04c03a19c8,29,216,Hole in the Wall,Missing data,Bar,VeryLikelyOpen
281,14ad19ed1d0647f283a3a3ef,29,27,CasaBella,343 Antrim Rd,Restaurant,LikelyOpen
282,59fb35316adbf5087fff3781,29,148,Belfast Hidden Tours,5 Lothair Ave,Tourism,LikelyOpen
283,4c8a1e4b2e333704f875c041,29,170,Devines antrim road,Missing data,Restaurant,VeryLikelyOpen
284,4bc892bd15a7ef3b82577bda,29,290,Manny's,241-243 Antrim Rd,Restaurant,LikelyOpen
285,4daa16011e72c1ab9becc2de,29,96,Chef King,345 Antrim Rd,Restaurant,LikelyOpen
286,583d42216b0cdb761c39bb74,29,94,Angelas Sandwich Bar,315 Antrim Rd,Bar,VeryLikelyOpen
287,4e91caed7ee60278a65886ad,29,48,Cassidy's Bar,347 Antrim Road,Bar,VeryLikelyOpen
288,4c06a9388a81c9b659122690,29,561,Waterworks,Antrim Rd,Park,VeryLikelyOpen
289,574ad440498ee45007d902e1,29,95,Sylvesters Cafe,295-297 Antrim Rd,Coffee Shop,LikelyOpen
290,5ae825e4ad910e002c72a002,30,276,Tim Hortons,65 Fountain St,Coffee Shop,VeryLikelyOpen
291,514a517de4b0e876ff898ce4,30,426,Ox,1 Oxford St,Restaurant,VeryLikelyOpen
292,54917d6b498e225b49364d84,30,213,YO! Belfast,1 Victoria Square,Restaurant,VeryLikelyOpen
