,Station_No,Business_ID,Business_Name,Category,Review_Count,Rating,Phone_No,Address,Distance,Business_Hours
217,11,84WxVnRYkm5xPTRBWWJXQg,The Morning Star,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'irish', 'title': 'Irish'}]",65,4.1,+442890329310,17-19 Pottingers Entry,748.0009418674438,"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '1030', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1030', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
218,11,IsHb86YeKSQjM9Xrth6zrw,Sunflower Pub,"[{'alias': 'pubs', 'title': 'Pubs'}]",22,4.7,+442890232474,65 Union Street,215.3723734703467,"[{'open': [{'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
219,11,xbjmgGMytNipvGpLgy3lYw,The Muddlers Club,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",11,5.0,+442890313199,Unit 1,515.798465492893,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
220,12,7ZEXZDFXfXnz_vClcx6FXw,Tesco Superstore,"[{'alias': 'grocery', 'title': 'Grocery'}]",9,3.6,+442890886400,2 Ballygomartin Road,365.2032695353223,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1300', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
221,12,PDEmW1mcypNMRDXpvPPSoA,Marco's,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]",1,3.0,+442890729993,68 Ballygomartin Road,84.14637058555186,[]
222,12,-DTKRUTuI396xThfRe4YqQ,Silver House,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]",1,4.0,+442890391424,185 West Circular Road,278.1604360356855,[]
223,12,T9OOT_PO1rUcWqLWKCZL2A,Five Star Bengal,"[{'alias': 'indpak', 'title': 'Indian'}]",0,0.0,,West Lane BT12 5BG Belfast,240.1764817876291,[]
224,12,WRhmErHzmvoqJmKBpG0sbw,Tour Ticket Ireland,"[{'alias': 'tours', 'title': 'Tours'}]",0,0.0,+442895902500,Innovation Factory,761.3756886481586,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
225,12,T3Elh5jVzTU6CdhKRSs4rw,Mater Infirmorum Hospital Trust,"[{'alias': 'hospitals', 'title': 'Hospitals'}, {'alias': 'midwives', 'title': 'Midwives'}]",4,3.8,+442890741211,Crumlin Road,784.0528460792642,[]
226,12,54IwDsE1CU9QfVPVmZFp2w,Bamboo Garden,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]",2,4.0,+442890233895,22 Woodvale Road,863.0201938443887,[]
